university,level,portrait,prompt_id,engine,model,output_path
Aberdeen University,Bachelors,aiony-haust-3TLl_97HNJo-unsplash.jpg,P0_Apple_Studio,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/aiony-haust-3TLl_97HNJo-unsplash/P0_Apple_Studio/output.png
Aberdeen University,Bachelors,aiony-haust-3TLl_97HNJo-unsplash.jpg,P1_Grad_Generic,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/aiony-haust-3TLl_97HNJo-unsplash/P1_Grad_Generic/output.png
Aberdeen University,Bachelors,aiony-haust-3TLl_97HNJo-unsplash.jpg,P2_Grad_Parametric,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/aiony-haust-3TLl_97HNJo-unsplash/P2_Grad_Parametric/output.png
Aberdeen University,Bachelors,aiony-haust-3TLl_97HNJo-unsplash.jpg,P3_Daylight_Natural,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/aiony-haust-3TLl_97HNJo-unsplash/P3_Daylight_Natural/output.png
Aberdeen University,Bachelors,aiony-haust-3TLl_97HNJo-unsplash.jpg,P4_Passport_Neutral,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/aiony-haust-3TLl_97HNJo-unsplash/P4_Passport_Neutral/output.png
Aberdeen University,Bachelors,aiony-haust-3TLl_97HNJo-unsplash.jpg,P5_Editorial_Soft,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/aiony-haust-3TLl_97HNJo-unsplash/P5_Editorial_Soft/output.png
Aberdeen University,Bachelors,aiony-haust-3TLl_97HNJo-unsplash.jpg,P6_HighKey_WhiteBG,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/aiony-haust-3TLl_97HNJo-unsplash/P6_HighKey_WhiteBG/output.png
Aberdeen University,Bachelors,albert-dera-ILip77SbmOE-unsplash.jpg,P0_Apple_Studio,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/albert-dera-ILip77SbmOE-unsplash/P0_Apple_Studio/output.png
Aberdeen University,Bachelors,albert-dera-ILip77SbmOE-unsplash.jpg,P1_Grad_Generic,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/albert-dera-ILip77SbmOE-unsplash/P1_Grad_Generic/output.png
Aberdeen University,Bachelors,albert-dera-ILip77SbmOE-unsplash.jpg,P2_Grad_Parametric,genai,gemini-2.5-flash-image,experiments/run_20251020-030319/Aberdeen University__Bachelors/albert-dera-ILip77SbmOE-unsplash/P2_Grad_Parametric/output.png
