university,level,source_images,saved_board
Aberdeen University,Masters,aberdeen-university-masters-graduation-set-1.jpg,templates/Aberdeen University/Masters/board.png
Aberdeen University,Bachelors,aberdeen-university-bachelors-graduation-set-1-1.jpg,templates/Aberdeen University/Bachelors/board.png
Abertay University,Masters,abertay-university-masters-graduation-set-1.jpg,templates/Abertay University/Masters/board.png
Abertay University,Bachelors,abertay-university-bachelors-graduation-set-1.jpg,templates/Abertay University/Bachelors/board.png
Anglia Ruskin University,Masters,anglia-ruskin-masters-graduation-set-1.jpg,templates/Anglia Ruskin University/Masters/board.png
Anglia Ruskin University,Bachelors,anglia-ruskin-bachelor-graduation-set-1.jpg,templates/Anglia Ruskin University/Bachelors/board.png
Anglia Ruskin University Purchase,Masters,anglia-ruskin-masters-graduation-set-1.jpg,templates/Anglia Ruskin University Purchase/Masters/board.png
Anglia Ruskin University Purchase,Bachelors,anglia-ruskin-bachelor-graduation-set-1.jpg,templates/Anglia Ruskin University Purchase/Bachelors/board.png
Arts University Bournemouth,Bachelors,arts-university-bournemouth-bachelors-graduation-set-1.jpg,templates/Arts University Bournemouth/Bachelors/board.png
Bangor University,Masters,university-of-bangor-masters-graduation-set-1.jpg,templates/Bangor University/Masters/board.png
Bangor University,Bachelors,university-of-bangor-bachelors-graduation-set-1.jpg,templates/Bangor University/Bachelors/board.png
Bath Spa University,Masters,bath-spa-masters-graduation-set-1.jpg,templates/Bath Spa University/Masters/board.png
Bath Spa University,Bachelors,bath-spa-bachelor-graduation-set-1.jpg,templates/Bath Spa University/Bachelors/board.png
Bath University,Bachelors,bath-university-bachelors-graduation-set-1.jpg,templates/Bath University/Bachelors/board.png
Bedfordshire University,Masters,university-of-bedfordshire-postgraduate-certificate-and-diploma-graduation-set-1.jpg,templates/Bedfordshire University/Masters/board.png
Bedfordshire University,Bachelors,university-of-bedfordshire-bachelors-graduation-set-1.jpg,templates/Bedfordshire University/Bachelors/board.png
"Birkbeck, University of London",Masters,university-of-london-masters-graduation-set-1.jpg,"templates/Birkbeck, University of London/Masters/board.png"
"Birkbeck, University of London",Bachelors,university-of-london-bachelors-graduation-set-1.jpg,"templates/Birkbeck, University of London/Bachelors/board.png"
Birmingham City University,Bachelors,birmingham-city-bachelors-graduation-set-1.jpg,templates/Birmingham City University/Bachelors/board.png
Bolton University,Masters,bolton-university-masters-graduation-set-1.png,templates/Bolton University/Masters/board.png
Bolton University,Bachelors,bolton-university-bachelors-graduation-set-1.jpg,templates/Bolton University/Bachelors/board.png
Bournemouth University,Masters,bournemouth-university-masters-graduation-set-1.jpg,templates/Bournemouth University/Masters/board.png
